PID,Context Shift,Anaphoric Reference,Utterance,Chunk
P29,Implicit,No,broken down further by sex,3
P29,Implicit,No,replace siblings with parents,3
P29,Implicit,No,is there a correlation between fare and survival rate?,4
P30,Explicit,No,percentage of women and childern who survived,1
P30,Explicit,No,% of female who survived,1
P30,Explicit,No,% of children who survived,1
P30,Explicit,No,reset,1
P30,Explicit,No,% of people survived below the age of 18,2
P30,Explicit,No,population split by class,2
P30,Explicit,No,reset,2
P30,Explicit,No,% of survival by class,3
P30,Explicit,No,with parents or children,3
P30,Explicit,No,with siblings or spouses,3
P30,Explicit,No,reset,3
P30,Explicit,No,% survived by sex and % survived by class,4
P30,Explicit,No,reset,4
P30,Explicit,No,"compared to all survived, what is the % of sex and class who survived?",5
P31,Explicit,No,Who survived by sex?,1
P31,Explicit,No,Percent survived by sex?,1
P31,Explicit,No,percent survived by class?,1
P31,Explicit,No,reset,1
P31,Explicit,No,what was the average fare per class?,2
P31,Explicit,No,reset,2
P31,Explicit,No,what percent of passengers by class and what percent of passengers survived by fare?,3
P31,Explicit,No,reset,3
P31,Explicit,No,what percentage of passengers survived that had parents and/or children aboard,4
P31,Explicit,No,what about people with siblings and/or spouses,4
P31,Explicit,No,what class were they in?,4
P31,Explicit,No,reset,4
P31,Explicit,No,what percentage of passengers survived based on age?,5
P31,Explicit,No,what about passengers that had childern and/or parents?,5
P31,Explicit,No,reset,5
P31,Explicit,No,what percentage of passengers survived by sex?,6
P31,Explicit,No,what were their ages?,6
P34,Explicit,No,Age of people who will likely survive?,1
P34,Explicit,No,how many male will survived?,1
P34,Explicit,No,what class of peopple survived?,1
P34,Explicit,No,reset,1
P34,Explicit,No,how many parents survived?,2
P34,Explicit,No,reset,2
P34,Explicit,No,how many parents survived?,3
P34,Explicit,No,what percentage of parents survived?,3
P35,Explicit,No,How many passengers were there?,1
P35,Explicit,No,How many survived?,1
P35,Explicit,No,Cut survived/not-survived by age bin,1
P35,Explicit,No,clear,1
P35,Explicit,No,with survived/non-survived who me percentage across age bin,2
P35,Explicit,No,interwave the age bin bars,2
P35,Explicit,No,clear,2
P35,Explicit,No,cut passengers by age bin; within each age bin show survived/non-survived side-by-side,3
P35,Explicit,No,calibrate the passenger count so that I can compared survived-or-not-on a percentage-wise basis,3
P35,Explicit,No,clear,3
P35,Explicit,No,"within each age bin, show me survived yes divided by total count of passengers",4
P35,Explicit,No,show me n-size in the lower axis,4
P35,Explicit,No,show me n-size in the lower axis by class,4
P35,Explicit,No,show me n-size in the lower axis by fare bin,4
P35,Explicit,No,go back to the last one,4
P36,Implicit,No,how many people were on the titanic,1
P36,Implicit,No,how many women survived?,1
P36,Implicit,No,how many females were on the titanic,1
P36,Implicit,No,what was the percentage of female survivors?,1
P36,Implicit,No,what was the percentage of male survivors?,1
P36,Implicit,No,our of  female survivors how many were under 18 years old?,1
P36,Implicit,No,what was their percentage,1
P36,Implicit,No,out of female survivors what was the percentage above 18?,1
P36,Implicit,No,how many had a sibling or a spouse?,1
P36,Implicit,No,without sibiling and spouse,1
P36,Implicit,No,out of female survivors who were 18 how many had parents and children?,2
P36,Implicit,No,what is the percentage of female suvivors without siblings or children or parent out of entire families shown by age,3
P30,Implicit,No,show me number of survived passengers group by age (bin),1
P30,Implicit,No,show me percentage of passengers survived instead,1
P30,Implicit,No,show me percentage of passengers survived grouped by age and sex,1
P30,Implicit,No,show me percentage of passengeres survived froup by Fare bin and Class and parents andor children aboard,2
P30,Implicit,No,show me percentage of passengers survived group by siblings and/or spouses aboard and age bin,3
P40,Explicit,No,number of surviving passengers who were male,1
P40,Explicit,No,and passengers who were female,1
P40,Explicit,No,number of surviving passengers were male over the fare,1
P40,Explicit,No,age of passengers that survived,2
P40,Explicit,No,number of surviving passengers that had children,2
P40,Explicit,No,reset,2
P40,Explicit,No,how many femalse wit ha fare of more than $300 survived,3
P40,Explicit,No,reset,3
P40,Explicit,No,number of passengers over the fare bin,4
P40,Explicit,No,fare bin for each cass,4
P40,Explicit,No,average of fare bins for each class,4
P40,Explicit,No,reset,4
P40,Explicit,No,age bin of femalse versus males,5
P40,Explicit,No,take out class and fare bins,5
P40,Explicit,No,reset,5
P40,Explicit,No,suvivors that have spouses,6
